"","station","name","lon","lat"
"72","H0718","QUIJOS EN BAEZA",-77.88638889,-0.454444444
"73","H0719","QUIJOS DJ OYACACHI",-77.775,-0.302777778
"74","H0729","MISAHUALLI EN COTUNDO",-77.79694444,-0.841111111
"75","H0721","JATUNYACU DJ ILOCULIN",-77.91888889,-1.087222222
"76","H0722","YANAHURCO DJ VALLE",-78.28111111,-0.691666667
"77","H0731","COSANGA AJ QUIJOS",-78.85222222,-0.344722222
"78","H0881","BOMBOIZA AJ ZAMORA",-78.49638889,-3.415
"79","H0883","TUTANANGOZA EN SUCUA",-78.17138889,-2.462777778
"80","H0884","ZAMORA AJ BOMBOIZA",-78.50277778,-3.154166667
"81","H0885","NANGARITZA AJ ZAMORA",-78.68611111,-3.919722222
"82","H0887","YACUAMBI AJ ZAMORA",-78.84833333,-3.9125
"83","H0889","ZAMORA DJ SABANILLA(EN ZAMORA)",-78.94805556,-4.060277778
"84","H0890 ","ZAMORA DJ NANGARITZA",-78.64194444,-3.764166667
"85","H0908","UPANO DJ. TUTAMANGOZA",-78.19833333,-2.635277778
"86","H0912","YACUAMBI EN LA PAZ",-78.88611111,-3.726944444
"87","H0966","MAYO AJ QDA.ZUMBAYACU",-79.08472222,-4.868888889
"88","H1133","AGUARICO EN NUEVA LOJA (LA GABARRA)",-76.80805556,0.043888889
"89","H1134","COCA EN SAN SEBASTIAN",-77.00527778,-0.339722222
"90","H1136","NAPO EN NUEVO ROCAFUERTE",-75.39611111,-0.916666667
"91","","",NA,NA
"92","","",NA,NA
"93","","",NA,NA
"94","","",NA,NA
"95","","",NA,NA
